op,shape,dur_us,flops,bytes_accessed
%broadcast,f32[16384]{0:T(1024)S(1)} broadcast(f32[,0.014,0,0
%custom-call,c64[16384]{0:T(1024)} custom-call(f32[16,1.07,0,0
%iota_and_fusion,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.005,0,0
%iota_shift-right-logical_fusion,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.006,0,0
%fusion.1167,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, f",1.847,0,0
%fusion.1169,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, f",7.276,0,0
%add_select_fusion.180,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",9.273,0,0
%select_select_fusion.12,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.986,0,0
%fusion.953,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.53,0,0
%add_select_fusion.181,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",1.959,0,0
%fusion.1155,"(bf16[128,128]{1,0:T(8,128)(2,1)S(1)}, b",2.33,0,0
%custom-call,f32[16384]{0:T(1024)S(1)} custom-call(c6,0.421,0,0
%fusion.1172,"f32[128,128]{1,0:T(8,128)S(1)} fusion(bf",0.129,0,0
%custom-call.1,f32[16384]{0:T(1024)S(1)} custom-call(c6,0.421,0,0
%fusion.741,"f32[128,128]{1,0:T(8,128)S(1)} fusion(f3",0.134,0,0
%is-finite_and_fusion.22,"(pred[128,128,1]{1,0,2:T(32,128)(4,1)S(1",1.766,0,0
%fusion.1152,"(pred[128,128,1]{1,0,2:T(32,128)(4,1)S(1",2.014,0,0
%fusion.683,"(f32[128,128,1]{1,0,2:T(8,128)S(1)}, f32",2.68,0,0
%add_select_fusion.167,"(f32[128,128,1]{1,0,2:T(8,128)S(1)}, f32",1.129,0,0
%fusion.734,"(f32[128,128,1]{1,0,2:T(8,128)S(1)}, f32",5.219,0,0
%fusion.735,"f32[128,128,1]{1,0,2:T(8,128)S(1)} fusio",0.02,0,0
%fusion.1174,"f32[128,128]{1,0:T(8,128)S(1)} fusion(bf",0.151,0,0
%fusion.726,f32[16384]{0:T(1024)S(1)} fusion(f32[128,0.153,0,0
%fusion.729,f32[16384]{0:T(1024)S(1)} fusion(f32[128,0.155,0,0
%custom-call.2,c64[16384]{0:T(1024)} custom-call(f32[16,0.632,0,0
%iota_and_fusion,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.005,0,0
%iota_shift-right-logical_fusion,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.004,0,0
%fusion.1167,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, f",1.848,0,0
%fusion.1169,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, f",7.276,0,0
%add_select_fusion.180,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",9.271,0,0
%select_select_fusion.12,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.985,0,0
%fusion.953,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.53,0,0
%add_select_fusion.181,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",1.959,0,0
%fusion.1155,"(bf16[128,128]{1,0:T(8,128)(2,1)S(1)}, b",2.329,0,0
%custom-call,f32[16384]{0:T(1024)S(1)} custom-call(c6,0.422,0,0
%fusion.1172,"f32[128,128]{1,0:T(8,128)S(1)} fusion(bf",0.129,0,0
%custom-call.1,f32[16384]{0:T(1024)S(1)} custom-call(c6,0.421,0,0
%fusion.741,"f32[128,128]{1,0:T(8,128)S(1)} fusion(f3",0.132,0,0
%is-finite_and_fusion.22,"(pred[128,128,1]{1,0,2:T(32,128)(4,1)S(1",1.765,0,0
%fusion.1152,"(pred[128,128,1]{1,0,2:T(32,128)(4,1)S(1",2.013,0,0
%fusion.683,"(f32[128,128,1]{1,0,2:T(8,128)S(1)}, f32",2.68,0,0
%add_select_fusion.167,"(f32[128,128,1]{1,0,2:T(8,128)S(1)}, f32",1.128,0,0
%fusion.734,"(f32[128,128,1]{1,0,2:T(8,128)S(1)}, f32",5.184,0,0
%fusion.735,"f32[128,128,1]{1,0,2:T(8,128)S(1)} fusio",0.02,0,0
%fusion.1174,"f32[128,128]{1,0:T(8,128)S(1)} fusion(bf",0.151,0,0
%fusion.726,f32[16384]{0:T(1024)S(1)} fusion(f32[128,0.152,0,0
%fusion.729,f32[16384]{0:T(1024)S(1)} fusion(f32[128,0.155,0,0
%custom-call.2,c64[16384]{0:T(1024)} custom-call(f32[16,0.638,0,0
%iota_and_fusion,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.004,0,0
%iota_shift-right-logical_fusion,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.005,0,0
%fusion.1167,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, f",1.847,0,0
%fusion.1169,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, f",7.277,0,0
%add_select_fusion.180,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",9.273,0,0
%select_select_fusion.12,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.985,0,0
%fusion.953,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.53,0,0
%add_select_fusion.181,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",1.959,0,0
%fusion.1155,"(bf16[128,128]{1,0:T(8,128)(2,1)S(1)}, b",2.329,0,0
%custom-call,f32[16384]{0:T(1024)S(1)} custom-call(c6,0.421,0,0
%fusion.1172,"f32[128,128]{1,0:T(8,128)S(1)} fusion(bf",0.129,0,0
%custom-call.1,f32[16384]{0:T(1024)S(1)} custom-call(c6,0.421,0,0
%fusion.741,"f32[128,128]{1,0:T(8,128)S(1)} fusion(f3",0.133,0,0
%is-finite_and_fusion.22,"(pred[128,128,1]{1,0,2:T(32,128)(4,1)S(1",1.764,0,0
%fusion.1152,"(pred[128,128,1]{1,0,2:T(32,128)(4,1)S(1",2.016,0,0
%fusion.683,"(f32[128,128,1]{1,0,2:T(8,128)S(1)}, f32",2.68,0,0
%add_select_fusion.167,"(f32[128,128,1]{1,0,2:T(8,128)S(1)}, f32",1.128,0,0
%fusion.734,"(f32[128,128,1]{1,0,2:T(8,128)S(1)}, f32",5.185,0,0
%fusion.735,"f32[128,128,1]{1,0,2:T(8,128)S(1)} fusio",0.02,0,0
%fusion.1174,"f32[128,128]{1,0:T(8,128)S(1)} fusion(bf",0.151,0,0
%fusion.726,f32[16384]{0:T(1024)S(1)} fusion(f32[128,0.153,0,0
%fusion.729,f32[16384]{0:T(1024)S(1)} fusion(f32[128,0.155,0,0
%custom-call.2,c64[16384]{0:T(1024)} custom-call(f32[16,0.637,0,0
%iota_and_fusion,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.005,0,0
%iota_shift-right-logical_fusion,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.004,0,0
%fusion.1167,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, f",1.848,0,0
%fusion.1169,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, f",7.276,0,0
%add_select_fusion.180,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",9.274,0,0
%select_select_fusion.12,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.985,0,0
%fusion.953,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.531,0,0
%add_select_fusion.181,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",1.958,0,0
%fusion.1155,"(bf16[128,128]{1,0:T(8,128)(2,1)S(1)}, b",2.33,0,0
%custom-call,f32[16384]{0:T(1024)S(1)} custom-call(c6,0.423,0,0
%fusion.1172,"f32[128,128]{1,0:T(8,128)S(1)} fusion(bf",0.13,0,0
%custom-call.1,f32[16384]{0:T(1024)S(1)} custom-call(c6,0.419,0,0
%fusion.741,"f32[128,128]{1,0:T(8,128)S(1)} fusion(f3",0.131,0,0
%is-finite_and_fusion.22,"(pred[128,128,1]{1,0,2:T(32,128)(4,1)S(1",1.766,0,0
%fusion.1152,"(pred[128,128,1]{1,0,2:T(32,128)(4,1)S(1",2.014,0,0
%fusion.683,"(f32[128,128,1]{1,0,2:T(8,128)S(1)}, f32",2.68,0,0
%add_select_fusion.167,"(f32[128,128,1]{1,0,2:T(8,128)S(1)}, f32",1.129,0,0
%fusion.734,"(f32[128,128,1]{1,0,2:T(8,128)S(1)}, f32",5.184,0,0
%fusion.735,"f32[128,128,1]{1,0,2:T(8,128)S(1)} fusio",0.02,0,0
%fusion.1174,"f32[128,128]{1,0:T(8,128)S(1)} fusion(bf",0.151,0,0
%fusion.726,f32[16384]{0:T(1024)S(1)} fusion(f32[128,0.153,0,0
%fusion.729,f32[16384]{0:T(1024)S(1)} fusion(f32[128,0.155,0,0
%custom-call.2,c64[16384]{0:T(1024)} custom-call(f32[16,0.639,0,0
%iota_and_fusion,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.005,0,0
%iota_shift-right-logical_fusion,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.005,0,0
%fusion.1167,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, f",1.847,0,0
%fusion.1169,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, f",7.275,0,0
%add_select_fusion.180,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",9.273,0,0
%select_select_fusion.12,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.986,0,0
%fusion.953,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.53,0,0
%add_select_fusion.181,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",1.959,0,0
%fusion.1155,"(bf16[128,128]{1,0:T(8,128)(2,1)S(1)}, b",2.33,0,0
%custom-call,f32[16384]{0:T(1024)S(1)} custom-call(c6,0.421,0,0
%fusion.1172,"f32[128,128]{1,0:T(8,128)S(1)} fusion(bf",0.13,0,0
%custom-call.1,f32[16384]{0:T(1024)S(1)} custom-call(c6,0.421,0,0
%fusion.741,"f32[128,128]{1,0:T(8,128)S(1)} fusion(f3",0.131,0,0
%is-finite_and_fusion.22,"(pred[128,128,1]{1,0,2:T(32,128)(4,1)S(1",1.766,0,0
%fusion.1152,"(pred[128,128,1]{1,0,2:T(32,128)(4,1)S(1",2.014,0,0
%fusion.683,"(f32[128,128,1]{1,0,2:T(8,128)S(1)}, f32",2.68,0,0
%add_select_fusion.167,"(f32[128,128,1]{1,0,2:T(8,128)S(1)}, f32",1.127,0,0
%fusion.734,"(f32[128,128,1]{1,0,2:T(8,128)S(1)}, f32",5.185,0,0
%fusion.735,"f32[128,128,1]{1,0,2:T(8,128)S(1)} fusio",0.02,0,0
%fusion.1174,"f32[128,128]{1,0:T(8,128)S(1)} fusion(bf",0.151,0,0
%fusion.726,f32[16384]{0:T(1024)S(1)} fusion(f32[128,0.153,0,0
%fusion.729,f32[16384]{0:T(1024)S(1)} fusion(f32[128,0.155,0,0
%custom-call.2,c64[16384]{0:T(1024)} custom-call(f32[16,0.636,0,0
%iota.1,"f32[2097152]{0:T(1024)} iota(), iota_dim",13.012,0,0
%broadcast_add_fusion,f32[2097152]{0:T(1024)} fusion(f32[20971,25.56,0,0
%broadcast,f32[2097152]{0:T(1024)S(1)} broadcast(f3,1.625,0,0
%custom-call,c64[2097152]{0:T(1024)} custom-call(f32[,62.792,0,0
%iota_shift-right-logical_fusion.1,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.004,0,0
%copy-start.10,"(u32[128]{0:T(128)}, u32[128]{0:T(128)S(",0.003,0,0
%iota_and_fusion.1,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.004,0,0
%copy-start.11,"(u32[128]{0:T(128)}, u32[128]{0:T(128)S(",0.003,0,0
%iota_shift-right-logical_fusion,"u32[16384]{0:T(1024)S(1)} fusion(), kind",0.014,0,0
%copy-start,"(u32[16384]{0:T(1024)}, u32[16384]{0:T(1",0.003,0,0
%iota_and_fusion,"u32[16384]{0:T(1024)S(1)} fusion(), kind",0.015,0,0
%copy-start.1,"(u32[16384]{0:T(1024)}, u32[16384]{0:T(1",0.003,0,0
%is-finite_and_fusion.53,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, f",7.803,0,0
%fusion.1781,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, f",1.706,0,0
%select_select_fusion.23,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.981,0,0
%fusion.1345,"(f32[128,128]{1,0:T(8,128)}, f32[128,128",11.549,0,0
%add_select_fusion.276,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",10.171,0,0
%fusion.1565,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.531,0,0
%add_select_fusion.277,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",1.956,0,0
%fusion.1773,"(bf16[128,128]{1,0:T(8,128)(2,1)S(1)}, b",2.328,0,0
%copy-start.2,"(bf16[128,128]{1,0:T(8,128)(2,1)}, bf16[",0.001,0,0
%copy-start.6,"(bf16[128,128]{1,0:T(8,128)(2,1)}, bf16[",0.003,0,0
%copy-start.4,"(bf16[128,128]{1,0:T(8,128)(2,1)}, bf16[",0.003,0,0
%custom-call.1,f32[2097152]{0:T(1024)S(1)} custom-call(,11.857,0,0
%reshape.14,"f32[128,16384]{1,0:T(8,128)S(1)} reshape",2.869,0,0
%custom-call,f32[2097152]{0:T(1024)S(1)} custom-call(,11.464,0,0
%reshape.6,"f32[128,16384]{1,0:T(8,128)S(1)} reshape",3.09,0,0
%copy-done.2,"bf16[128,128]{1,0:T(8,128)(2,1)} copy-do",0.003,0,0
%fusion.1792,"f32[128,16384]{1,0:T(8,128)S(1)} fusion(",2.841,0,0
%copy-done.6,"bf16[128,128]{1,0:T(8,128)(2,1)} copy-do",0.004,0,0
%convolution_subtract_fusion.1,"f32[128,16384]{1,0:T(8,128)S(1)} fusion(",2.853,0,0
%copy-done.4,"bf16[128,128]{1,0:T(8,128)(2,1)} copy-do",0.004,0,0
%convolution_add_fusion.1,"f32[128,16384]{1,0:T(8,128)S(1)} fusion(",2.854,0,0
%is-finite_and_fusion.22,"(pred[128,16384,1]{1,0,2:T(8,128)(4,1)S(",204.413,0,0
%fusion.1770,"(pred[128,16384,1]{1,0,2:T(8,128)(4,1)},",240.227,0,0
%copy-done.10,u32[128]{0:T(128)} copy-done((u32[128]{0,0.004,0,0
%copy-done.11,u32[128]{0:T(128)} copy-done((u32[128]{0,0.004,0,0
%copy-done,u32[16384]{0:T(1024)} copy-done((u32[163,0.003,0,0
%copy-done.1,u32[16384]{0:T(1024)} copy-done((u32[163,0.003,0,0
%fusion.335,"(f32[128,16384,1]{1,0,2:T(8,128)S(1)}, f",317.439,0,0
%add_select_fusion.84,"(f32[128,16384,1]{1,0,2:T(8,128)}, f32[1",142.329,0,0
%fusion.375,"(f32[16,8,128,128]{3,1,2,0:T(8,128)S(1)}",1428.753,0,0
%fusion.377,"f32[16,8,128,128]{3,1,2,0:T(8,128)S(1)} ",11.951,0,0
%copy.6,"f32[16,8,128,128]{3,2,1,0:T(8,128)S(1)} ",2.474,0,0
%copy.2,"f32[128,128,128]{2,0,1:T(8,128)S(1)} cop",8.135,0,0
%copy.5,"f32[16,8,128,128]{3,2,1,0:T(8,128)S(1)} ",2.474,0,0
%copy-start.3,"(bf16[128,128]{1,0:T(8,128)(2,1)S(1)}, b",0.003,0,0
%copy,"f32[128,128,128]{2,0,1:T(8,128)S(1)} cop",8.141,0,0
%copy-done.3,"bf16[128,128]{1,0:T(8,128)(2,1)S(1)} cop",0.004,0,0
%copy-start.7,"(bf16[128,128]{1,0:T(8,128)(2,1)S(1)}, b",0.003,0,0
%fusion.1360,"f32[128,128,128]{2,0,1:T(8,128)S(1)} fus",2.841,0,0
%copy-done.7,"bf16[128,128]{1,0:T(8,128)(2,1)S(1)} cop",0.004,0,0
%copy-start.5,"(bf16[128,128]{1,0:T(8,128)(2,1)S(1)}, b",0.003,0,0
%copy-start.8,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.003,0,0
%copy-start.9,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.004,0,0
%convolution_subtract_fusion,"f32[128,128,128]{2,0,1:T(8,128)S(1)} fus",2.853,0,0
%copy-done.5,"bf16[128,128]{1,0:T(8,128)(2,1)S(1)} cop",0.004,0,0
%copy-done.8,"f32[128,128]{1,0:T(8,128)S(1)} copy-done",0.004,0,0
%copy-done.9,"f32[128,128]{1,0:T(8,128)S(1)} copy-done",0.004,0,0
%fusion.373,"(f32[128,128,128]{2,1,0:T(8,128)S(1)}, f",25.968,0,0
%fusion.370,"f32[128,16384]{1,0:T(8,128)S(1)} fusion(",12.473,0,0
%fusion.367,"f32[16,128,8,128]{3,2,1,0:T(8,128)S(1)} ",28.004,0,0
%fusion.364,"f32[16,128,8,128]{3,2,1,0:T(8,128)S(1)} ",28.004,0,0
%copy.9,"f32[16,128,8,128]{3,1,2,0:T(8,128)S(1)} ",2.475,0,0
%copy.10,"f32[16,128,8,128]{3,1,2,0:T(8,128)S(1)} ",2.474,0,0
%custom-call.2,c64[2097152]{0:T(1024)} custom-call(f32[,25.779,0,0
%iota_shift-right-logical_fusion.1,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.005,0,0
%copy-start.10,"(u32[128]{0:T(128)}, u32[128]{0:T(128)S(",0.003,0,0
%iota_and_fusion.1,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.005,0,0
%copy-start.11,"(u32[128]{0:T(128)}, u32[128]{0:T(128)S(",0.003,0,0
%iota_shift-right-logical_fusion,"u32[16384]{0:T(1024)S(1)} fusion(), kind",0.016,0,0
%copy-start,"(u32[16384]{0:T(1024)}, u32[16384]{0:T(1",0.003,0,0
%iota_and_fusion,"u32[16384]{0:T(1024)S(1)} fusion(), kind",0.015,0,0
%copy-start.1,"(u32[16384]{0:T(1024)}, u32[16384]{0:T(1",0.003,0,0
%is-finite_and_fusion.53,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, f",7.803,0,0
%fusion.1781,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, f",1.706,0,0
%select_select_fusion.23,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.98,0,0
%fusion.1345,"(f32[128,128]{1,0:T(8,128)}, f32[128,128",11.547,0,0
%add_select_fusion.276,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",10.171,0,0
%fusion.1565,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.531,0,0
%add_select_fusion.277,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",1.956,0,0
%fusion.1773,"(bf16[128,128]{1,0:T(8,128)(2,1)S(1)}, b",2.329,0,0
%copy-start.2,"(bf16[128,128]{1,0:T(8,128)(2,1)}, bf16[",0.001,0,0
%copy-start.6,"(bf16[128,128]{1,0:T(8,128)(2,1)}, bf16[",0.003,0,0
%copy-start.4,"(bf16[128,128]{1,0:T(8,128)(2,1)}, bf16[",0.004,0,0
%custom-call.1,f32[2097152]{0:T(1024)S(1)} custom-call(,11.785,0,0
%reshape.14,"f32[128,16384]{1,0:T(8,128)S(1)} reshape",2.869,0,0
%custom-call,f32[2097152]{0:T(1024)S(1)} custom-call(,11.479,0,0
%reshape.6,"f32[128,16384]{1,0:T(8,128)S(1)} reshape",3.343,0,0
%copy-done.2,"bf16[128,128]{1,0:T(8,128)(2,1)} copy-do",0.003,0,0
%fusion.1792,"f32[128,16384]{1,0:T(8,128)S(1)} fusion(",2.842,0,0
%copy-done.6,"bf16[128,128]{1,0:T(8,128)(2,1)} copy-do",0.003,0,0
%convolution_subtract_fusion.1,"f32[128,16384]{1,0:T(8,128)S(1)} fusion(",2.854,0,0
%copy-done.4,"bf16[128,128]{1,0:T(8,128)(2,1)} copy-do",0.003,0,0
%convolution_add_fusion.1,"f32[128,16384]{1,0:T(8,128)S(1)} fusion(",2.854,0,0
%is-finite_and_fusion.22,"(pred[128,16384,1]{1,0,2:T(8,128)(4,1)S(",204.415,0,0
%fusion.1770,"(pred[128,16384,1]{1,0,2:T(8,128)(4,1)},",239.994,0,0
%copy-done.10,u32[128]{0:T(128)} copy-done((u32[128]{0,0.003,0,0
%copy-done.11,u32[128]{0:T(128)} copy-done((u32[128]{0,0.003,0,0
%copy-done,u32[16384]{0:T(1024)} copy-done((u32[163,0.004,0,0
%copy-done.1,u32[16384]{0:T(1024)} copy-done((u32[163,0.003,0,0
%fusion.335,"(f32[128,16384,1]{1,0,2:T(8,128)S(1)}, f",317.438,0,0
%add_select_fusion.84,"(f32[128,16384,1]{1,0,2:T(8,128)}, f32[1",142.366,0,0
%fusion.375,"(f32[16,8,128,128]{3,1,2,0:T(8,128)S(1)}",1428.754,0,0
%fusion.377,"f32[16,8,128,128]{3,1,2,0:T(8,128)S(1)} ",11.951,0,0
%copy.6,"f32[16,8,128,128]{3,2,1,0:T(8,128)S(1)} ",2.475,0,0
%copy.2,"f32[128,128,128]{2,0,1:T(8,128)S(1)} cop",8.135,0,0
%copy.5,"f32[16,8,128,128]{3,2,1,0:T(8,128)S(1)} ",2.474,0,0
%copy-start.3,"(bf16[128,128]{1,0:T(8,128)(2,1)S(1)}, b",0.003,0,0
%copy,"f32[128,128,128]{2,0,1:T(8,128)S(1)} cop",8.142,0,0
%copy-done.3,"bf16[128,128]{1,0:T(8,128)(2,1)S(1)} cop",0.004,0,0
%copy-start.7,"(bf16[128,128]{1,0:T(8,128)(2,1)S(1)}, b",0.003,0,0
%fusion.1360,"f32[128,128,128]{2,0,1:T(8,128)S(1)} fus",2.842,0,0
%copy-done.7,"bf16[128,128]{1,0:T(8,128)(2,1)S(1)} cop",0.004,0,0
%copy-start.5,"(bf16[128,128]{1,0:T(8,128)(2,1)S(1)}, b",0.004,0,0
%copy-start.8,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.003,0,0
%copy-start.9,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.003,0,0
%convolution_subtract_fusion,"f32[128,128,128]{2,0,1:T(8,128)S(1)} fus",2.854,0,0
%copy-done.5,"bf16[128,128]{1,0:T(8,128)(2,1)S(1)} cop",0.004,0,0
%copy-done.8,"f32[128,128]{1,0:T(8,128)S(1)} copy-done",0.003,0,0
%copy-done.9,"f32[128,128]{1,0:T(8,128)S(1)} copy-done",0.004,0,0
%fusion.373,"(f32[128,128,128]{2,1,0:T(8,128)S(1)}, f",25.966,0,0
%fusion.370,"f32[128,16384]{1,0:T(8,128)S(1)} fusion(",12.473,0,0
%fusion.367,"f32[16,128,8,128]{3,2,1,0:T(8,128)S(1)} ",28.004,0,0
%fusion.364,"f32[16,128,8,128]{3,2,1,0:T(8,128)S(1)} ",28.004,0,0
%copy.9,"f32[16,128,8,128]{3,1,2,0:T(8,128)S(1)} ",2.474,0,0
%copy.10,"f32[16,128,8,128]{3,1,2,0:T(8,128)S(1)} ",2.474,0,0
%custom-call.2,c64[2097152]{0:T(1024)} custom-call(f32[,25.749,0,0
%iota_shift-right-logical_fusion.1,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.005,0,0
%copy-start.10,"(u32[128]{0:T(128)}, u32[128]{0:T(128)S(",0.004,0,0
%iota_and_fusion.1,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.004,0,0
%copy-start.11,"(u32[128]{0:T(128)}, u32[128]{0:T(128)S(",0.003,0,0
%iota_shift-right-logical_fusion,"u32[16384]{0:T(1024)S(1)} fusion(), kind",0.016,0,0
%copy-start,"(u32[16384]{0:T(1024)}, u32[16384]{0:T(1",0.003,0,0
%iota_and_fusion,"u32[16384]{0:T(1024)S(1)} fusion(), kind",0.016,0,0
%copy-start.1,"(u32[16384]{0:T(1024)}, u32[16384]{0:T(1",0.003,0,0
%is-finite_and_fusion.53,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, f",7.802,0,0
%fusion.1781,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, f",1.706,0,0
%select_select_fusion.23,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.98,0,0
%fusion.1345,"(f32[128,128]{1,0:T(8,128)}, f32[128,128",11.549,0,0
%add_select_fusion.276,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",10.171,0,0
%fusion.1565,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.531,0,0
%add_select_fusion.277,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",1.956,0,0
%fusion.1773,"(bf16[128,128]{1,0:T(8,128)(2,1)S(1)}, b",2.329,0,0
%copy-start.2,"(bf16[128,128]{1,0:T(8,128)(2,1)}, bf16[",0.004,0,0
%copy-start.6,"(bf16[128,128]{1,0:T(8,128)(2,1)}, bf16[",0.003,0,0
%copy-start.4,"(bf16[128,128]{1,0:T(8,128)(2,1)}, bf16[",0.004,0,0
%custom-call.1,f32[2097152]{0:T(1024)S(1)} custom-call(,11.791,0,0
%reshape.14,"f32[128,16384]{1,0:T(8,128)S(1)} reshape",2.87,0,0
%custom-call,f32[2097152]{0:T(1024)S(1)} custom-call(,11.482,0,0
%reshape.6,"f32[128,16384]{1,0:T(8,128)S(1)} reshape",3.051,0,0
%copy-done.2,"bf16[128,128]{1,0:T(8,128)(2,1)} copy-do",0.003,0,0
%fusion.1792,"f32[128,16384]{1,0:T(8,128)S(1)} fusion(",2.841,0,0
%copy-done.6,"bf16[128,128]{1,0:T(8,128)(2,1)} copy-do",0.004,0,0
%convolution_subtract_fusion.1,"f32[128,16384]{1,0:T(8,128)S(1)} fusion(",2.854,0,0
%copy-done.4,"bf16[128,128]{1,0:T(8,128)(2,1)} copy-do",0.004,0,0
%convolution_add_fusion.1,"f32[128,16384]{1,0:T(8,128)S(1)} fusion(",2.853,0,0
%is-finite_and_fusion.22,"(pred[128,16384,1]{1,0,2:T(8,128)(4,1)S(",204.414,0,0
%fusion.1770,"(pred[128,16384,1]{1,0,2:T(8,128)(4,1)},",240.036,0,0
%copy-done.10,u32[128]{0:T(128)} copy-done((u32[128]{0,0.004,0,0
%copy-done.11,u32[128]{0:T(128)} copy-done((u32[128]{0,0.004,0,0
%copy-done,u32[16384]{0:T(1024)} copy-done((u32[163,0.004,0,0
%copy-done.1,u32[16384]{0:T(1024)} copy-done((u32[163,0.004,0,0
%fusion.335,"(f32[128,16384,1]{1,0,2:T(8,128)S(1)}, f",317.438,0,0
%add_select_fusion.84,"(f32[128,16384,1]{1,0,2:T(8,128)}, f32[1",142.404,0,0
%fusion.375,"(f32[16,8,128,128]{3,1,2,0:T(8,128)S(1)}",1428.754,0,0
%fusion.377,"f32[16,8,128,128]{3,1,2,0:T(8,128)S(1)} ",11.981,0,0
%copy.6,"f32[16,8,128,128]{3,2,1,0:T(8,128)S(1)} ",2.475,0,0
%copy.2,"f32[128,128,128]{2,0,1:T(8,128)S(1)} cop",8.136,0,0
%copy.5,"f32[16,8,128,128]{3,2,1,0:T(8,128)S(1)} ",2.474,0,0
%copy-start.3,"(bf16[128,128]{1,0:T(8,128)(2,1)S(1)}, b",0.003,0,0
%copy,"f32[128,128,128]{2,0,1:T(8,128)S(1)} cop",8.141,0,0
%copy-done.3,"bf16[128,128]{1,0:T(8,128)(2,1)S(1)} cop",0.004,0,0
%copy-start.7,"(bf16[128,128]{1,0:T(8,128)(2,1)S(1)}, b",0.003,0,0
%fusion.1360,"f32[128,128,128]{2,0,1:T(8,128)S(1)} fus",2.84,0,0
%copy-done.7,"bf16[128,128]{1,0:T(8,128)(2,1)S(1)} cop",0.004,0,0
%copy-start.5,"(bf16[128,128]{1,0:T(8,128)(2,1)S(1)}, b",0.003,0,0
